datetime,open,high,low,close,volume
2023-03-06 08:00:00,135.775,136.121,135.522,136.085,52414
2023-03-06 12:00:00,136.085,136.185,135.719,135.866,50524
2023-03-06 16:00:00,135.866,135.989,135.629,135.915,48915
2023-03-06 20:00:00,135.916,136.084,135.87,135.906,24350
2023-03-07 00:00:00,135.905,136.169,135.878,136.011,23017
2023-03-07 04:00:00,136.01,136.057,135.822,135.985,25634
2023-03-07 08:00:00,135.984,135.989,135.534,135.854,48152
2023-03-07 12:00:00,135.853,136.253,135.833,136.135,41774
2023-03-07 16:00:00,136.137,136.947,136.108,136.848,79239
2023-03-07 20:00:00,136.847,137.189,136.757,137.146,31039
2023-03-08 00:00:00,137.146,137.49,137.011,137.311,31420
2023-03-08 04:00:00,137.31,137.905,137.3,137.709,29629
2023-03-08 08:00:00,137.708,137.73,137.433,137.55,44552
2023-03-08 12:00:00,137.55,137.671,137.028,137.055,47821
2023-03-08 16:00:00,137.056,137.214,136.469,137.194,67055
2023-03-08 20:00:00,137.194,137.429,137.134,137.321,25947
2023-03-09 00:00:00,137.318,137.339,136.791,137.116,27151
2023-03-09 04:00:00,137.114,137.127,136.726,136.821,22878
2023-03-09 08:00:00,136.819,136.885,136.101,136.186,43277
2023-03-09 12:00:00,136.187,136.393,135.934,136.081,48918
2023-03-09 16:00:00,136.08,136.473,135.991,136.22,49353
2023-03-09 20:00:00,136.221,136.242,135.982,136.134,36437
2023-03-10 00:00:00,136.134,136.419,135.805,135.948,34682
2023-03-10 04:00:00,135.948,136.966,135.86,136.632,50258
2023-03-10 08:00:00,136.632,136.849,136.08,136.774,61706
2023-03-10 12:00:00,136.775,136.987,135.841,136.258,62645
2023-03-10 16:00:00,136.259,136.357,134.104,134.732,93815
2023-03-10 20:00:00,134.732,135.13,134.666,135.067,44137
2023-03-13 00:00:00,134.338,135.046,133.538,134.371,48586
2023-03-13 04:00:00,134.371,134.827,133.676,134.141,61085
2023-03-13 08:00:00,134.141,134.688,133.752,133.802,67840
2023-03-13 12:00:00,133.802,133.95,132.276,132.534,108898
2023-03-13 16:00:00,132.533,133.405,132.409,133.049,98943
2023-03-13 20:00:00,133.049,133.611,132.944,133.181,60996
2023-03-14 00:00:00,133.168,133.35,133.021,133.229,38937
2023-03-14 04:00:00,133.229,134.023,133.22,133.853,46451
2023-03-14 08:00:00,133.854,134.327,133.179,134.081,72341
2023-03-14 12:00:00,134.082,134.641,133.837,134.047,78467
2023-03-14 16:00:00,134.047,134.898,133.973,134.403,81823
2023-03-14 20:00:00,134.403,134.409,133.976,134.207,57373
2023-03-15 00:00:00,134.207,134.591,134.15,134.424,37044
2023-03-15 04:00:00,134.424,134.537,134.024,134.514,42988
2023-03-15 08:00:00,134.515,135.105,134.458,134.66,62413
2023-03-15 12:00:00,134.66,134.712,132.516,132.654,108423
2023-03-15 16:00:00,132.654,133.304,132.207,132.701,101820
2023-03-15 20:00:00,132.7,133.769,132.597,133.359,79540
2023-03-16 00:00:00,133.361,133.425,132.492,133.327,40873
2023-03-16 04:00:00,133.328,133.488,132.554,132.769,56108
2023-03-16 08:00:00,132.772,133.217,132.556,132.892,71911
2023-03-16 12:00:00,132.892,133.081,132.162,132.309,76839
2023-03-16 16:00:00,132.309,133.467,131.71,133.438,104036
2023-03-16 20:00:00,133.437,133.822,133.375,133.714,59254
2023-03-17 00:00:00,133.714,133.736,133.323,133.38,27162
2023-03-17 04:00:00,133.38,133.459,133.019,133.049,42349
2023-03-17 08:00:00,133.05,133.346,132.738,133.232,62463
2023-03-17 12:00:00,133.232,133.272,132.013,132.267,73910
2023-03-17 16:00:00,132.268,132.476,131.806,132.202,89678
2023-03-17 20:00:00,132.202,132.305,131.55,131.83,55242
2023-03-20 00:00:00,131.78,132.629,131.636,132.606,43676
2023-03-20 04:00:00,132.607,132.644,131.742,131.806,54189
2023-03-20 08:00:00,131.807,131.979,130.533,130.883,85647
2023-03-20 12:00:00,130.884,131.615,130.809,131.524,89046
2023-03-20 16:00:00,131.525,131.84,131.245,131.612,86441
2023-03-20 20:00:00,131.612,131.733,131.262,131.31,47345
2023-03-21 00:00:00,131.31,131.596,131.086,131.163,24918
2023-03-21 04:00:00,131.162,131.404,131.027,131.249,32387
2023-03-21 08:00:00,131.249,132.252,131.173,132.175,58774
